StudentID,Age,Gender,Year,StudyHours,AssignmentsAvg,HomeworkCompletionRate,AttendanceRate,ParticipationScore,MidtermScore,ProjectScore,FinalExamScore,SES,ParentalEducationLevel,StudyGroupHours,LibraryUsage,ExtraCreditScore,FinalGrade,Passed
1,20,1,3,17.28,49.61,51.11,75.18,4.96,52.69,50.52,51.59,5.92,3,5.17,9.9,4.89,50.96,0
2,25,1,3,21.92,57.79,63.5,75.91,5.04,64.07,62.21,64.85,5.2,3,5.87,11.94,5.99,55.39,0
3,20,0,2,23.2,61.94,68.47,82.06,6.2,65.35,67.46,64.2,4.89,3,6.36,13.71,6.3,65.03,1
4,21,1,4,18.02,50.77,49.84,71.63,4.17,50.42,51.34,52.75,4.35,2,4.75,8.99,4.76,50.32,0
5,17,1,3,15.94,38.8,38.89,60.28,1.92,45.44,43.58,47.44,2.72,1,3.25,5.41,3.73,44.29,0
6,23,1,3,13.51,37.77,35.25,67.75,3.3,37.18,37.92,38.65,5.1,3,3.64,6.23,3.69,40.43,0
7,20,1,4,11.84,31.19,28.91,63.88,2.71,34.16,33.67,32.01,6.25,3,3.24,6.19,3.31,31.93,0
8,19,0,4,15.43,43.28,42.48,72.46,4.32,39.48,41.37,42.21,3.17,2,4.06,7.65,3.97,34.59,0
9,20,1,4,13.73,39.37,41.71,71.82,4.48,37.49,38.36,39.39,3.4,2,4.06,7.98,3.65,41.83,0
10,22,1,3,16.87,45.46,47.34,,3.92,50.03,50.96,51.2,4.72,2,4.32,8.58,4.52,48.45,0
11,19,0,3,14.07,43.68,52.47,84.82,6.79,40.67,41.98,42.9,4.86,3,5.13,11.44,4.36,40.04,0
12,25,0,1,11.35,33.03,35.55,75.35,5.15,30.26,37.35,33.58,3.36,2,3.84,8.24,3.44,36.49,0
13,19,1,4,16.28,43.27,36.54,60.95,1.84,47.19,44.48,46.45,3.31,1,3.48,5.61,3.65,48.91,0
14,18,1,2,17.4,49.47,53.82,78.97,5.78,48.63,49.42,49.53,5.73,3,5.24,10.99,4.84,48.18,0
15,21,0,2,15.5,43.09,42.52,71.24,4.0,42.99,41.49,44.27,3.13,2,3.81,7.92,3.93,49.73,0
16,25,1,3,13.07,34.8,38.35,69.99,4.0,34.24,37.82,37.13,5.95,3,4.01,7.97,3.83,30.61,0
17,17,0,1,16.28,44.05,41.48,63.59,2.7,48.17,48.63,46.83,5.54,3,4.0,7.3,4.2,47.5,0
18,22,1,3,14.79,39.18,37.1,66.07,3.7,41.42,42.65,40.91,5.69,3,3.94,8.11,3.55,48.12,0
19,24,0,3,20.5,58.52,64.73,81.9,6.17,59.02,57.26,58.65,4.32,2,6.03,12.4,5.55,51.92,0
20,22,1,5,15.65,43.17,43.1,74.53,5.2,41.24,46.31,42.08,6.16,3,4.65,9.32,4.41,47.3,0
21,25,1,4,13.45,38.66,39.1,70.51,4.18,38.53,39.16,37.2,3.45,2,3.61,7.59,3.57,41.37,0
22,22,1,1,11.29,35.05,37.98,76.37,5.38,32.09,35.26,33.26,6.69,3,4.32,9.44,3.38,36.11,0
23,24,0,4,15.95,46.52,50.96,80.21,6.07,46.0,49.0,46.15,5.6,3,5.24,11.71,4.86,46.74,0
24,20,1,1,13.36,39.71,42.29,77.01,5.11,38.01,41.12,40.27,6.75,3,4.73,9.53,4.1,41.08,0
25,24,1,1,15.8,48.79,52.94,80.7,5.93,46.91,48.49,46.86,1.98,1,4.55,10.81,4.31,49.05,0
26,19,0,1,19.27,55.72,55.97,76.42,4.97,52.75,56.48,54.35,5.12,2,5.58,10.31,5.38,52.84,0
27,23,1,1,15.94,42.55,34.56,60.89,2.16,,43.75,43.93,4.69,2,3.49,5.87,3.79,51.13,0
28,22,1,1,18.65,54.13,56.5,83.41,6.43,53.81,53.54,50.94,4.57,3,5.79,12.68,5.15,51.7,0
29,24,0,4,12.9,35.38,33.96,68.14,3.9,36.63,37.4,37.23,6.04,3,3.84,7.74,3.5,37.45,0
30,25,0,1,17.34,47.57,51.11,72.04,4.27,49.2,48.67,47.85,5.8,3,4.73,9.03,4.72,48.9,0
31,17,1,3,16.52,48.22,50.39,79.89,5.81,48.33,48.53,47.42,4.08,2,5.18,10.91,4.53,45.76,0
32,24,0,2,13.68,38.71,41.11,69.43,3.47,41.15,39.8,39.95,3.19,2,3.77,7.13,3.74,42.96,0
33,20,1,2,17.13,49.02,50.85,76.46,4.92,49.04,51.91,48.4,4.94,3,5.43,10.54,4.79,45.66,0
34,25,0,2,14.41,38.76,35.08,63.46,2.61,40.85,40.14,41.53,4.09,2,3.52,5.67,3.24,37.92,0
35,19,1,5,13.97,39.97,39.02,67.51,3.34,39.9,40.22,39.46,4.54,2,3.62,7.34,3.83,34.33,0
36,25,0,2,18.12,53.98,62.98,86.43,7.26,54.24,55.71,53.3,5.7,3,6.3,13.08,5.52,67.55,1
37,24,1,3,15.71,46.94,47.3,73.76,4.35,46.81,47.29,48.16,2.62,1,4.45,8.27,4.21,53.28,0
38,19,1,3,16.41,51.05,49.4,76.99,5.34,47.95,48.19,47.67,7.83,4,5.3,11.11,4.9,40.91,0
39,23,1,3,15.76,45.11,41.54,74.78,4.67,43.85,44.22,45.68,4.97,2,4.7,9.45,4.23,45.87,0
40,20,1,3,12.18,37.61,41.2,78.42,6.16,32.15,34.67,34.09,5.97,3,4.54,9.34,3.66,32.44,0
41,22,1,4,19.27,51.65,50.88,72.35,4.32,52.67,54.58,54.92,6.83,3,5.09,10.49,5.42,47.04,0
42,21,0,3,11.08,31.56,34.45,72.83,5.31,31.82,33.01,31.23,7.41,4,4.08,9.16,3.62,24.66,0
43,18,1,4,12.43,32.1,30.76,67.27,3.8,32.5,35.12,35.15,4.72,2,3.38,6.66,3.25,36.0,0
44,24,0,4,14.27,35.55,30.82,62.6,2.48,40.38,37.39,37.51,4.55,2,3.69,5.55,3.41,32.37,0
45,18,1,2,11.51,31.98,36.95,72.79,4.26,34.85,35.03,33.38,3.58,2,3.59,7.84,3.37,28.63,0
46,23,0,4,22.53,63.45,58.57,73.1,4.28,62.28,61.33,63.77,5.04,3,5.59,10.73,5.81,69.04,1
47,17,1,3,18.88,50.33,48.05,69.37,3.34,52.42,53.22,56.02,4.95,3,4.87,8.17,4.9,53.87,0
48,24,0,4,20.18,54.7,52.46,67.1,3.0,60.12,60.92,60.52,5.5,3,4.94,9.02,5.49,53.55,0
49,21,0,2,17.57,49.79,53.55,80.57,5.61,48.05,49.78,47.89,3.98,2,4.97,11.2,4.8,55.95,0
